configuration,resencm_weight,dtk10_weight,msl_weight,threshold,mode,mean_dice,mean_lesion_f1,mean_lesion_count_difference,mean_absolute_volume_difference_ml,missed_cases,tiny_recall,small_recall,medium_recall,large_recall
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s100_c066,0.31875,0.31875,0.2125,0.425,pp_s100_c066,0.6665432711733351,0.616049449447941,1.7756366139022712,5.08926415554497,79,0.2433206106870229,0.6318977119784657,0.8590116279069767,0.9842767295597484
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s150_c064,0.31875,0.31875,0.2125,0.425,pp_s150_c064,0.6665513998689612,0.6141021195784516,1.7983482450103234,5.089042669385921,77,0.24475190839694658,0.6318977119784657,0.8575581395348837,0.9842767295597484
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s150_c065,0.31875,0.31875,0.2125,0.425,pp_s150_c065,0.6664399126276788,0.6150582830098186,1.7880247763248451,5.088875352108045,79,0.24379770992366412,0.6318977119784657,0.8575581395348837,0.9842767295597484
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s150_c066,0.31875,0.31875,0.2125,0.425,pp_s150_c066,0.6662993885988834,0.6157774490509723,1.7777013076393668,5.088987534172698,80,0.24236641221374045,0.6271870794078062,0.8575581395348837,0.9842767295597484
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s200_c064,0.31875,0.31875,0.2125,0.425,pp_s200_c064,0.6665761917883387,0.6146563615885051,1.7997247075017206,5.089044729920685,77,0.24475190839694658,0.6305518169582772,0.8575581395348837,0.9827044025157232
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s200_c065,0.31875,0.31875,0.2125,0.425,pp_s200_c065,0.6664632973984206,0.6154781560623785,1.7887130075705437,5.088993241963971,79,0.24379770992366412,0.629878869448183,0.8575581395348837,0.9827044025157232
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s200_c066,0.31875,0.31875,0.2125,0.425,pp_s200_c066,0.6663175406108247,0.6162071793090284,1.7790777701307638,5.089215541027935,80,0.24236641221374045,0.6251682368775235,0.8575581395348837,0.9827044025157232
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s250_c064,0.31875,0.31875,0.2125,0.425,pp_s250_c064,0.666582139810802,0.6151675869549995,1.8017894012388163,5.08921785295913,77,0.24475190839694658,0.629878869448183,0.8561046511627907,0.9827044025157232
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s250_c065,0.31875,0.31875,0.2125,0.425,pp_s250_c065,0.6664692021692155,0.6159893814288728,1.7921541637990366,5.0891663650024155,79,0.24379770992366412,0.6292059219380888,0.8561046511627907,0.9827044025157232
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s250_c066,0.31875,0.31875,0.2125,0.425,pp_s250_c066,0.6663234453816198,0.6167184046755226,1.7832071576049553,5.089556913283562,80,0.24236641221374045,0.6244952893674294,0.8561046511627907,0.9827044025157232
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s300_c064,0.31875,0.31875,0.2125,0.425,pp_s300_c064,0.666596947220584,0.6154977963028493,1.8031658637302133,5.089995159310404,77,0.24475190839694658,0.629878869448183,0.8546511627906976,0.9827044025157232
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s300_c065,0.31875,0.31875,0.2125,0.425,pp_s300_c065,0.6664840095789973,0.6163195907767227,1.7935306262904336,5.08994367135369,79,0.24379770992366412,0.6292059219380888,0.8546511627906976,0.9827044025157232
c02_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s300_c066,0.31875,0.31875,0.2125,0.425,pp_s300_c066,0.6663382527914016,0.6170486140233725,1.7845836200963523,5.090334219634835,80,0.24236641221374045,0.6244952893674294,0.8546511627906976,0.9827044025157232
